Profile Summary
Generated on: 2024-11-05 13:23:52
Msec since Epoch: 1730809432537
Profiled application: app_hw
Target platform: Xilinx
Tool version: 2023.1
XRT build version: 2.15.225
Build version branch: 2023.1
Build version hash: adf27adb3cfadc6e4c41d6db814159f1329b24f3
Build version date: 2023-05-03 10:13:19
Target devices: xilinx_u280_gen3x16_xdma_base_1-0
Flow mode: System Run

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u280_gen3x16_xdma_base_1-0,CCL,CCL,1:1:1,1:1:1,6,Yes,1,1.000000x,1805.89,261.024,300.982,350.275,300,





Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Bandwidth Utilization With Respect To Current Port Configuration (%),Bandwidth Utilization With Respect To Ideal Port Configuration (%),Maximum Achievable BW on Current Port Configuration (MB/s),Maximum Theoretical BW on Ideal Port Configuration (MB/s),Average Size (KB),Average Latency (ns),
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem0,in_full_graph,HBM[0],READ,2389006,22.4231,1.86859,0.116787,1200,19200,0.004,53.5162,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem1,in_scores,HBM[1],READ,1892324,130.11,10.8425,0.677657,1200,19200,0.0243659,60.4139,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem2,io_graph,HBM[2],WRITE,596663,52.1739,4.34783,0.271739,1200,19200,0.004,23,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem2,io_graph,HBM[2],READ,645249,28.4636,2.37197,0.148248,1200,19200,0.00503217,53.0378,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem3,io_lookup,HBM[3],WRITE,215081,52.1739,4.34783,0.271739,1200,19200,0.004,23,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem3,io_lookup,HBM[3],READ,215081,125.705,10.4754,0.654714,1200,19200,0.004,61.2336,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem4,io_lookup_filter,HBM[4],WRITE,215081,52.1739,4.34783,0.271739,1200,19200,0.004,23,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem4,io_lookup_filter,HBM[4],READ,596663,21.512,1.79267,0.112042,1200,19200,0.004,55.7827,
xilinx_u280_gen3x16_xdma_base_1-0,CCL/m_axi_gmem5,out_components,HBM[5],WRITE,58863,195.776,16.3146,1.01967,1200,19200,0.0165326,26.1332,

Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u280_gen3x16_xdma_base_1-0,CCL,2389006,4,0.0976562,9.55602,0,9.55602,22.4231,


Compute Units: Stall Information
Compute Unit,Execution Count,Running Time (ms),Intra-Kernel Dataflow Stalls (ms),External Memory Stalls (ms),Inter-Kernel Pipe Stalls (ms),
CCL,6,1805.89,0,45.9807,0

TITLE:Native API Calls
SECTION:API Calls,Native API Calls
COLUMN:<html>API Name</html>,string,Name of Native XRT API,
COLUMN:<html>Minimum<br>Time (ms)</html>,float,Minimum time of a single host write,
COLUMN:<html>Total<br>Time (ms)</html>,float,Combined time of all host write,
COLUMN:<html>Average<br>Time (ms)</html>,float,Average of write durations (in ms),
ENTRY:31,268435,262.144,108561,11088,70.3826,24.7604,0.09144,303.519,9.79093,

TITLE:Top Memory Reads: Host from Global Memory
SECTION:Host Data Transfers,Top Memory Reads
COLUMN:<html>Start<br>Time (ms)</html>,float,Start time of read transfer (in ms),
COLUMN:<html>Buffer<br>Size (KB)</html>,float,Size of read transfer (in KB),
COLUMN:<html>Duration (ms)</html>,float,Duration of read transfer (in ms),
COLUMN:<html>Reading<br>Rate (MB/s)</html>,float,Transfer rate of reads: Reading Rate = (Buffer Size) / (Duration),
ENTRY:57070.2,5687.1,0.509678,11158.2,
ENTRY:19300.8,294.912,0.122928,2399.06,
ENTRY:20389.9,294.912,0.119461,2468.69,
ENTRY:18782.2,294.912,0.10304,2862.11,
ENTRY:19885.9,294.912,0.10237,2880.84,
ENTRY:20936.4,294.912,0.10226,2883.94,
ENTRY:18218.6,294.912,0.098332,2999.15,

TITLE:Top Memory Writes: Host to Global Memory
SECTION:Host Data Transfers,Top Memory Writes
COLUMN:<html>Start<br>Time (ms)</html>,float,Start time of write transfer (in ms),
COLUMN:<html>Buffer<br>Size (KB)</html>,float,Size of write transfer (in KB),
COLUMN:<html>Duration (ms)</html>,float,Duration of write transfer (in ms),
COLUMN:<html>Writing<br>Rate (MB/s)</html>,float,Transfer rate of writes: Writing Rate = (Buffer Size) / (Duration),
ENTRY:18991.7,268435,24.7604,10841.3,
ENTRY:18428.6,268435,24.723,10857.7,
ENTRY:17904.4,268435,24.6656,10883,
ENTRY:19509.6,268435,24.5806,10920.6,
ENTRY:20614.1,268435,24.5124,10951,
ENTRY:20103.3,268435,24.307,11043.5,
ENTRY:19486,268435,23.5392,11403.8,
ENTRY:17881,268435,23.3765,11483.1,
ENTRY:20590.7,268435,23.3651,11488.7,
ENTRY:18405.2,268435,23.3461,11498.1,

Guidance Parameters
Parameter,Element,Value,
CU_CALLS,xilinx_u280_gen3x16_xdma_base_1-0|CCL,6,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-0|XCL_PERF_MON_MEMORY|6,6,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-0|XCL_PERF_MON_STR|0,0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[0],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[1],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[2],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[3],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[4],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[5],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[6],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[7],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[8],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[9],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[10],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[11],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[12],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[13],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[14],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[15],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[16],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[17],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[18],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[19],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[20],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[21],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[22],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[23],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[24],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[25],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[26],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[27],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[28],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[29],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[30],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[31],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|DDR[0],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|DDR[1],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[2],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[3],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[4],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[5],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HOST[0],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
PORT_BIT_WIDTH,CCL/m_axi_gmem0,32,
PORT_BIT_WIDTH,CCL/m_axi_gmem1,32,
PORT_BIT_WIDTH,CCL/m_axi_gmem2,32,
PORT_BIT_WIDTH,CCL/m_axi_gmem3,32,
PORT_BIT_WIDTH,CCL/m_axi_gmem4,32,
PORT_BIT_WIDTH,CCL/m_axi_gmem5,32,
KERNEL_COUNT,CCL,1,
TRACE_MEMORY,all,TS2MM,
PLRAM_SIZE_BYTES,xilinx_u280_gen3x16_xdma_base_1-0,131072,
TRACE_BUFFER_FULL,xilinx_u280_gen3x16_xdma_base_1-0,false
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_gen3x16_xdma_base_1-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_gen3x16_xdma_base_1-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM,512,
APPLICATION_RUN_TIME_MS,all,57915.5,
TOTAL_KERNEL_RUN_TIME_MS,all,3005.83,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,1,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,coarse,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,all,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,100M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
XRT_INI_SETTING,AIE_profile_settings.interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_metrics,,Metric set for profiling AI Engine processor modules per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_memory_metrics,,Metric set for profiling AI Engine memory modules per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_memory_tile_metrics,,Metric set for profiling MEM tiles per graph
XRT_INI_SETTING,AIE_profile_settings.tile_based_aie_metrics,,Metric set for profiling AI Engine processor modules per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_aie_memory_metrics,,Metric set for profiling AI Engine memory modules per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_memory_tile_metrics,,Metric set for profiling MEM tiles per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_interface_tile_metrics,,Metric set for profiling AI Engine interface tiles per tile
XRT_INI_SETTING,AIE_trace_settings.start_type,time,Type of delay to use in AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.start_time,0,Start delay for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.start_iteration,1,Iteration count when graph type delay is used in AI Engine Trace
XRT_INI_SETTING,AIE_trace_settings.graph_based_aie_tile_metrics,,Configuration level used for AI Engine trace per graph
XRT_INI_SETTING,AIE_trace_settings.graph_based_memory_tile_metrics,,Configuration level used for MEM tile trace per graph
XRT_INI_SETTING,AIE_trace_settings.tile_based_aie_tile_metrics,,Configuration level used for AI Engine trace per tile
XRT_INI_SETTING,AIE_trace_settings.tile_based_memory_tile_metrics,,Configuration level used for MEM tile trace per tile
XRT_INI_SETTING,AIE_trace_settings.buffer_size,8M,Size of buffer to allocate for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.periodic_offload,1,Periodic offloading of AI Engine trace from memory to host
XRT_INI_SETTING,AIE_trace_settings.reuse_buffer,0,Enable use of circular buffer for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.buffer_offload_interval_us,100,Interval for reading of device AI Engine trace data to host (in us)
XRT_INI_SETTING,AIE_trace_settings.file_dump_interval_s,5,Interval for dumping AI Engine trace files to host (in s)
